pcon24cd,second_place_party_name,votes,person
E14001509,ref,9115,Malcolm James Webster
E14001159,con,15461,Vicky Ford
E14001335,con,16422,Michael Fabricant
E14001270,lab,13786,Primesh Patel
S14000063,snp,11324,Anum Qaisar
N05000017,sf,14236,Catherine Nelson
E14001362,con,15468,Luke Gardiner
E14001227,con,16988,Mhairi Fraser
S14000075,lab,14869,Richard McCready
W07000088,pc,8119,Lindsay Whittle
E14001548,con,14819,Ian Liddell-Grainger
E14001118,other,7909,Talat Sajawal
E14001374,lab,10812,Sally Johnston
N05000001,apni,17218,Naomi Long
E14001231,con,6288,Tessa Tucker
E14001289,con,14958,Bim Afolami
E14001323,green,5838,Ed Carlisle
E14001266,lab,16236,Hajira Hanif Piranie
E14001071,con,14451,Rob Butler
E14001421,green,7585,Claire Frances Sheppard
E14001134,green,8389,Mary Page
E14001564,ref,9540,Trevor Nicholls
E14001358,lab,12208,Sarah Alan
E14001476,lab,13002,Hanif Ahmad Khan
E14001533,ld,9916,Danielle Newson
E14001163,con,10388,Simon Eardley
E14001499,con,9677,Sidney Yankson
E14001460,lab,13303,Matt Aldridge
E14001175,ld,6161,Ben Curtis
E14001525,green,7511,Joe Hudson-Small
E14001319,green,7431,Chris Foren
E14001437,ref,12135,Grant Robert Joseph Randall
E14001067,ld,9867,Richard James Allen
E14001572,con,12501,Meg Powell-Chandler
E14001088,lab,13529,Christine Bayliss
E14001122,con,6323,Jamila Robertson
E14001293,green,7060,Fabio Vollono
E14001339,ref,5787,Joseph Doran
E14001155,lab,16770,Ollie Pearson
E14001505,lab,12448,Claire Tighe
E14001440,con,12340,Jacob Young
E14001381,con,12955,Anne Marie Morris
W07000092,pc,9423,Kiera Marshall
E14001552,ld,12099,Phil Hutty
E14001102,lab,10386,Kate Hollern
E14001417,lab,12386,Ju Owens
S14000080,snp,7725,Simita Kumar
E14001378,ref,8383,Janice Richardson
E14001397,con,12788,Anne-Marie Trevelyan
E14001114,con,13510,Matt Warman
E14001544,lab,11994,Lisa Banes
W07000084,pc,3844,Niamh Salkeld
S14000079,snp,13537,Deidre Brock
S14000096,snp,10290,Lyn Jardine
E14001401,con,14746,Shailesh Vara
E14001285,con,20275,Guy Opperman
E14001513,con,13936,Theo Clarke
E14001143,con,13956,Kate Kniveton
E14001456,ld,10815,Ellen Nicholson
E14001211,ref,10232,Lynn Murphy
E14001354,green,8084,Sam Easterby-Smith
E14001587,con,16118,Flick Drummond
S14000110,snp,13963,Alan Brown
W07000102,ref,8894,Oliver Lewis
E14001568,con,10985,Dean Russell
E14001092,con,8231,Ashvir Sangha
E14001138,lab,13517,Neena Gill
E14001246,con,11590,Rehman Chishti
E14001303,ref,7104,Sarah Morris
E14001180,ref,6685,Iddrisu Sufyan
E14001495,lab,15804,Sarah Allen
E14001250,lab,15409,Liam Derek Henry Draycott
E14001600,con,11444,Steve Baker
E14001315,ref,8896,Julie Peck
E14001196,lab,8707,Heather Iqbal
E14001529,con,14219,Siobhan Baillie
E14001179,con,14689,Tom Pursglove
E14001483,con,13566,Heather Wheeler
E14001207,con,8345,James Windsor-Clive
E14001342,con,12289,Jane Hunt
S14000106,snp,13302,Martin Docherty-Hughes
E14001591,con,16493,Robert Courts
E14001084,con,8912,Pinder Jit Chauhan
S14000107,snp,10776,Allan Dorans
E14001590,lab,13682,Rumi Chowdhury
E14001085,ld,9070,Rachel Bentley
E14001206,con,14309,Andrew Selous
E14001343,ref,11935,Sean Roger Matthews
E14001197,con,15560,David Mervyn Johnston
E14001528,con,6492,Mark Cornes
E14001178,con,15488,Fiona Bruce
E14001482,con,17988,James Gray
E14001251,ref,5142,Lee Moffitt
E14001601,lab,13677,Vicki Smith
E14001314,ref,7801,Martin Baker
E14001181,con,8522,Tom Mercer
E14001494,lab,13035,Emma Bishton
E14001247,con,13753,Faye Purbrick
E14001302,con,11696,Tom Hunt
E14001586,con,12180,Danielle Dunfield-Prayero
S14000111,snp,13987,Glen David Reynolds
W07000103,ref,10170,Dai Richards
E14001569,con,14873,Richard Rout
E14001093,ref,7755,Jack Brookes
E14001139,lab,12952,Catherine Deakin
E14001210,con,17361,Pauline Alison Jorgensen
E14001355,con,12563,Ben Bradley
E14001512,con,14896,Anthony Browne
E14001142,ld,9178,Gordon Birtwistle
E14001457,con,17865,Ruth Edwards
E14001284,lab,13459,Josh Tapper
E14001115,con,12837,Tobias Ellwood
E14001545,con,17801,Luke Hall
W07000085,con,12264,Fay Jones
S14000078,snp,15075,Tommy Sheppard
S14000097,snp,12676,Amy Callaghan
E14001400,con,12529,Craig Tracey
E14001379,con,6678,Guy Renner-Thompson
E14001396,con,16903,Duncan Baker
W07000093,ld,6949,Mark Williams
E14001553,green,7632,David Craig
E14001103,ref,6614,Alison Devine
E14001416,other,8256,Zaffar Iqbal
S14000081,snp,12446,Joanna Cherry
E14001380,con,10923,Simon John Tagg
E14001154,ref,12234,Keiron Anthony McGill
E14001504,con,11463,Damien Moore
E14001441,con,14021,Rachel Maclean
E14001292,ref,13317,Nicholas Palmer
E14001338,green,5246,Christopher Coughlan
E14001436,ref,9704,Adam Wood
E14001066,ref,12192,Alex Stevenson
E14001573,con,16078,Grant Shapps
E14001089,con,13603,Mark Brooks
E14001123,con,13465,Sushil Rapatwar
E14001318,con,10062,Peter Gordon Cartridge
E14001461,con,12350,Roberto Weeden-Sanz
E14001174,con,12820,Giles Watling
E14001524,con,12265,Suzanne Webb
E14001477,other,11019,Azhar Iqbal Chohan
E14001532,con,15747,Ed McGuinness
E14001162,con,18971,Gareth David Williams
E14001498,lab,12374,Evelyn Akoto
E14001359,lab,15591,Maahwish Mirza
E14001070,ref,8784,Robert Barrowcliffe
E14001420,con,8520,Vinay Raniga
E14001135,green,10855,Jai Breitnauer
E14001565,con,11861,Andy Carter
E14001288,ld,11624,Michael Mullaney
E14001322,con,10986,Thomas Averre
E14001267,con,13809,Hannah Ellis
E14001375,lab,17396,Saj Ahmad
E14001230,con,16312,John Cope
S14000074,snp,10757,Kim Marshall
W07000089,ld,6736,Rodney Berman
E14001549,lab,9351,Lewis William John Bailey
E14001119,ref,7441,Ian Peter Eglin
N05000016,apni,10428,Michelle Guy
E14001363,con,20090,Michael Tomlinson
E14001226,lab,12356,Rosalind Anne Doré
S14000062,con,12513,Douglas Gordon Ross
E14001334,green,6791,Charlotte Lafferty
E14001271,con,13191,Abbas Merali
E14001508,con,13488,Steve Double
E14001158,con,11446,Mary Robinson
E14001295,ref,11668,Sam David Woods-Brass
E14001153,con,12221,Elliot Colburn
E14001503,con,8037,Eric Sukumaran
E14001446,other,11587,George Galloway
E14001368,con,16254,Simon Clarke
E14001387,con,15076,Selaine Saxby
E14001554,con,12632,Cherilyn Mackrory
E14001104,con,12097,Paul Maynard
S14000069,snp,12247,Lucy Beattie
W07000094,con,13862,James Davies
S14000086,snp,11002,Anne McLaughlin
E14001411,ref,7053,Golam Kadiri
E14001391,con,15838,Lee Rowley
W07000082,ref,9601,Vicki Roskams
E14001112,con,12418,Chris Green
E14001542,con,14468,Laurence Robertson
E14001407,con,12819,Andrew Iain Lewer
S14000090,snp,13040,John Beare
E14001329,ref,11090,George Woodward
E14001283,con,16060,Julie Marson
E14001515,ref,7781,Barbara Kaya
E14001145,con,9886,Arnie Saunders
E14001450,con,12619,Jake Berry
E14001217,lab,12133,Rob Newman
E14001352,green,6387,Ekua Bayunu
E14001581,con,11901,John Penrose
E14001094,other,7142,Shakeel Afsar
W07000104,ref,7361,Tommy Short
E14001240,con,16095,Mark Harper
E14001305,lab,16873,Praful Nargund
E14001186,con,11716,Jason Cummings
E14001169,con,18671,Theresa Villiers
E14001493,ld,16004,Matthew Green
E14001539,lab,18820,Ryan Jude
E14001256,lab,12959,Keir Cozens
E14001313,ref,9127,Neil Francis Hunter
E14001190,con,14323,Peter Gibson
E14001485,con,14611,Richard Drax
E14001201,con,15530,Marisa Heath
E14001344,con,12448,Peter Aldous
E14001597,con,11506,Marc Bayliss
S14000100,snp,9905,Stefan Hoggan-Radu
W07000112,con,9953,Virginia Crosbie
S14000045,snp,13313,Owen Thompson
E14001128,lab,12662,Najmul Hussain
E14001578,lab,12567,Rebecca Denness
E14001082,ld,13039,Anna Victoria Crabtree
E14001333,green,9009,Callum Fowler
E14001299,con,10499,Sara Britcliffe
E14001276,con,8374,Dylan Thomas
W07000098,ref,11247,Gareth Beer
S14000065,con,14272,Stephen Charles  Kerr
E14001108,lab,13913,Clare Louise Walsh
E14001558,con,16012,Steve Tuckwell
N05000011,sdlp,6806,Pete Byrne
E14001364,lab,15534,Robert Martin
E14001221,con,7888,Zoe Huggins
S14000073,snp,12597,Tracey Little
E14001372,con,13788,David Morris
N05000007,uup,20273,Diana Armstrong
E14001237,con,12905,Jack Lopresti
E14001149,ld,8536,Cheney Payne
E14001519,lab,18233,Joe Dancey
E14001325,con,6584,Lee Anthony Farmer
E14001260,green,9987,Laura-Louise Fairley
E14001077,lab,12885,Alex Harrison
E14001427,ref,7467,Peter Gold
W07000108,ref,6246,Patrick Benham-Crosswell
E14001132,green,14142,Ani Stafford-Townsend
E14001562,other,7600,Aftab Nawaz
E14001098,lab,12796,Khalid Mahmood
E14001470,con,6252,Caroline Kampila
E14001535,lab,15959,Rob Pocock
E14001165,con,8496,Ben Flook
E14001309,lab,12821,Cat Price
E14001466,green,4701,Christine Gilligan Kubo
E14001173,ref,7374,Mark Belch
E14001489,con,14527,Poppy Simister-Thomas
E14001523,lab,14414,Jacqueline Anne Brown
E14001431,con,13715,Penny Mordaunt
E14001574,con,7318,Will Goodhand
E14001124,con,10183,Laura Blumenthal
E14001348,con,18932,Tania Mathias
E14001349,lab,12472,Maureen Cleator
E14001430,green,5975,Nathalie Bienfait
E14001575,con,19210,Chris Loder
E14001125,ref,11751,Paul Godfrey
S14000048,snp,13270,Patricia Gibson
E14001467,green,8283,Angela Argenzio
E14001172,con,12594,Tim Barnes
E14001488,lab,12758,Robert Parkinson
E14001522,con,13594,Jack Brereton
E14001308,lab,16964,John Grogan
E14001471,con,13398,Mark Spencer
E14001534,con,13775,Tom Drummond
E14001164,lab,16848,Angeliki Stogia
E14001076,con,13213,Simon Fell
E14001426,con,12061,Johnny Mercer
W07000109,ref,7854,Ian Michael Williams
E14001133,green,7837,Lorraine Francis
E14001563,green,9176,Rosalinda Ayo Rowlands
E14001099,con,5834,Simon Dennis Phipps
E14001324,con,9258,Andrea Jenkyns
E14001261,con,10659,James Morris
E14001148,con,11554,Connor Donnithorne
E14001518,ref,9189,John Gerard McDermottroe
E14001373,lab,8917,Sasjkia Otto
N05000006,sf,11327,Kathleen McGurk
E14001236,con,8195,Reva Anil Gudi
S14000072,snp,14369,Stuart McDonald
N05000010,dup,9162,Keith Buchanan
E14001365,lab,13716,Michael Rosen
E14001220,con,14424,Samuel Joynson
W07000099,ref,8344,Gareth Thomas
S14000064,snp,11917,John Nicolson
E14001109,con,10874,Mark Fletcher
E14001559,green,6416,Catherine Alice Dawkins
E14001332,green,9685,Adam Pugh
E14001298,lab,16758,Alex Bulat
E14001277,lab,10828,Claire Vibert
E14001596,con,11463,Mike Newton
S14000101,snp,13228,Gavin Andrew Stuart Newlands
E14001129,con,8230,Khobi Anne Vallis
E14001579,ld,13236,Dan Boatright-Greene
E14001083,con,12848,Hannah Gray
E14001200,con,7105,Glenn Karl Bluff
E14001345,con,7167,Jilleane Brown
E14001191,con,14200,Gareth Johnson
E14001484,con,15413,Anthony Mangnall
E14001257,green,5633,Stacy Smith
E14001312,con,8635,Helen Edward
E14001187,lab,17444,Ben Taylor
E14001168,con,14414,Nic Puntis
E14001492,ref,8469,Stephen William Holt
E14001538,con,13956,Eddie Hughes
E14001241,con,11165,Lucy Clare Trimnell
E14001304,con,10063,Bob Seely
E14001580,con,9589,Matty Jackman
E14001095,other,9089,James Giles
W07000105,ref,8541,Paul Taylor
E14001216,con,10083,Helen Harrison
E14001353,green,6819,Thirza Amina Asanga-Rae
E14001514,lab,14135,Alastair Watson
E14001144,con,12681,James Daly
E14001451,con,15025,Alexander Stafford
E14001328,con,7021,Max Chauhan
E14001282,lab,14744,Helen Elizabeth Whitehead
W07000083,pc,9112,Catrin Wager
E14001113,ref,4746,Darren Burns
E14001543,lab,15437,Roh Yakobi
E14001406,con,9195,Dan Bennett
S14000091,snp,13540,Richard Gordon Thomson
E14001390,ref,9057,Christopher Thornhill
E14001555,con,14974,Neil Mahapatra
E14001105,ref,10068,Mark Anthony Butcher
S14000068,snp,11451,Martyn Day
W07000095,con,13598,Darren Millar
S14000087,snp,13542,Stewart McDonald
E14001410,green,4332,Rosey Palmer
E14001369,con,12918,Johnny Luk
E14001386,ld,14069,Paul Richard Hodgkinson
E14001152,con,12929,John Stevenson
E14001502,con,14790,Anna Firth
E14001447,con,12473,Kelly Tolhurst
E14001294,con,19115,Jeremy Quin
E14001080,lab,8665,Daniel Bewley
W07000110,con,13524,Alun Cairns
S14000102,snp,13056,Jacqueline Cameron
E14001595,ref,7612,Carl Hardwick
E14001346,con,6735,Mark Anthony Gaius Versallion
E14001203,lab,10980,Chipiliro Kalebe-Nyamongo
E14001487,ref,10606,Matt Swainson
E14001468,ld,15686,Shaffaq Mohammed
E14001192,lab,14860,Marianne Kimani
E14001311,con,14189,Philip Hollobone
E14001254,con,13911,Adam Holloway
E14001604,con,5383,Richard William Hudson
E14001491,con,13339,Katherine Fletcher
E14001184,con,12218,Zack Ali
E14001307,ref,9892,Lynda Alexander
E14001242,lab,15356,Tom Calver
S14000051,snp,3585,Robert Leslie
W07000106,ref,7823,Steve Bayliss
E14001096,other,12137,Akhmed Yakoob
E14001429,con,14150,Robert Syms
E14001079,con,12708,Brendan Clarke-Smith
E14001583,ref,8887,David Surtees
E14001350,ref,12803,Robert F. Kenyon
E14001215,lab,10052,Thomas Bowell
E14001452,ref,11181,John Paul Cronly
E14001517,ref,6517,Lynn Schofield
E14001147,con,13055,Vanessa Jane Lee
E14001281,lab,13592,Joe Emmett
S14000092,snp,11548,Ross Clark
E14001405,lab,11143,Tim Leaver
E14001110,con,9513,Adele Kay Warren
E14001540,con,12392,Rebecca Pow
E14001393,con,16435,Nikki Da Costa
E14001239,con,11291,Damian Collins
N05000009,dup,15659,Jonathan Buckley
E14001413,con,11737,Marcus Jones
S14000084,snp,11759,David Linden
W07000096,lab,5912,Joanna Stallard
E14001556,con,8728,Jonathan Hulley
E14001106,ref,10007,David Ayre
E14001385,con,14137,Scott Mann
E14001444,lab,10874,Tom Wilson
E14001151,con,10878,Louise Harvey-Quirke
E14001501,con,11368,Gavin Haran
E14001278,con,11987,Andrew Williams
E14001297,green,10568,Andrew Cooper
E14001576,other,7180,Sophia Naqvi
E14001126,lab,10932,Leigh Redman
E14001433,other,8715,Michael Lavalette
E14001063,con,14081,Leo Docherty
E14001599,con,16570,Peter Bottomley
E14001258,con,14508,Angela Richardson
E14001171,ld,9486,Mike Cox
E14001521,con,9497,Jonathan Gullis
E14001464,con,12593,Charles Richardson
E14001537,con,12070,Robert Buckland
E14001167,lab,12524,Shama Tatler
E14001472,con,13135,Philip Davies
E14001188,con,6386,Simon Fox
E14001219,con,11538,Caroline Ansell
E14001130,lab,14519,Tom Gray
E14001560,ref,8427,David Alan Dews
E14001075,ref,11651,David White
E14001425,con,13300,Paul Bristow
E14001262,con,7866,Hazel Sharp
E14001327,lab,13760,Jon Ashworth
E14001235,lab,13347,Mel Dawkins
E14001370,con,13888,Ben Everitt
N05000005,apni,10156,Danny Donnelly
E14001409,green,8245,Jamie Osborn
S14000071,snp,11414,Lesley Backhouse
E14001389,ref,10689,Andrew Husband
E14001223,con,11640,Charlie Davis
N05000013,apni,13608,Stephen Farry
E14001366,con,14474,Kristy Lyn Adams
S14000088,snp,12267,Chris Stephens
S14000067,con,9350,Amanda Jane Hargreaves Hampsey
E14001274,con,10481,Sally-Ann Hart
E14001331,green,5573,Michael Herron
E14001448,lab,13876,Andrew Achilleos
E14001449,ld,17702,Geoff Cooper
E14001275,lab,12894,Stefanie Harvey
E14001330,con,14271,Maria Caulfield
S14000089,snp,12175,Carol Monaghan
S14000066,lab,14722,Cheryl-Ann Cruickshank
E14001388,ld,16619,Gary Jackson
E14001222,ref,7278,Michael Christopher Aldred
N05000012,dup,11192,Ian Paisley Jr
E14001367,ref,7046,Patrick John Miles Seargeant
E14001408,con,9944,Charlotte Domonique Salomon
S14000070,snp,12947,Steven Bonnar
E14001234,ld,17602,Khalil Yousuf
E14001371,con,6324,Ellie Cox
N05000004,other,5048,Gerry Carroll
S14000027,snp,2856,Susan Thomson
E14001263,ld,14869,Prad Bains
E14001326,lab,10100,Rajesh Agrawal
E14001131,lab,14132,Thangam Debbonaire
E14001561,ref,6678,David Burgess-Joyce
E14001074,ref,10799,Robert Lomas
E14001424,con,14729,Mark Jenkinson
E14001218,con,12601,Leila Williams
E14001536,con,13827,Justin Tomlinson
E14001166,con,13368,Gillian Keegan
E14001473,con,11577,Daniel Kawczynski
E14001189,ref,9398,Kevin Godfrey
E14001170,green,4663,Mark Worsley Tebbutt
E14001520,ref,8541,Luke Stephen Shenton
E14001465,ld,12888,Richard Giles Streatfeild
E14001259,green,9275,Antoinette Fernandez
E14001577,con,8680,Mike Prendergast
E14001127,lab,11721,Sarah Carter
E14001432,ref,5702,Mark Zimmer
E14001598,ref,9186,Craig Thomas Birtwistle
E14001279,con,15840,Ameet Jogia
E14001296,green,7418,Sophie Broadbent
E14001445,con,11373,Sara Gezdari
E14001150,con,12546,Amanda Milling
E14001500,con,6612,Ben Burcombe-Filer
E14001384,lab,14567,Uday Nagaraju
E14001412,con,5285,Zarmeena Abdul Quraishi
S14000085,snp,11116,Alison Thewliss
W07000097,con,8913,Marc Jenkins
E14001557,con,9036,Lewis Bartoli
E14001107,ref,10857,Mark Peart
E14001392,con,20544,Ranil Malcolm Jayawardena
E14001238,con,17276,Alex Deane
N05000008,sf,11481,Sandra Duffy
S14000093,snp,12560,Ronnie Cowan
E14001404,con,15859,Craig Smith
E14001111,ref,8350,Julie Pattison
E14001541,ref,10110,Alan Adams
W07000081,ref,7484,Mark Griffiths
E14001280,con,17637,Caroline Newton
E14001453,con,15105,Yousef Dahmash
E14001516,con,11080,Alex Clarkson
E14001146,con,15293,Will Tanner
E14001351,ref,12468,Pamela Kay Walford
E14001214,ld,17234,Dominic Martin
W07000107,ref,9328,Darren James
E14001097,con,9540,Gary Sambrook
E14001428,ref,10459,John Thomas
E14001078,con,14438,Maria Miller
E14001582,lab,15751,Ben Pickles
E14001306,green,7491,Carne Ross
E14001243,lab,13104,Jess McGuire
E14001490,lab,15504,Rufia Ashraf
E14001185,con,11110,Ben Fletcher
E14001310,con,14122,Felicity Buchan
E14001255,ref,10533,Oliver Freeston
E14001605,con,13770,Julian Sturdy
E14001486,con,13759,Sheryll Murray
E14001469,green,5926,Alexi Dimond
E14001193,con,9704,Amanda Solloway
E14001347,con,15552,David Rutley
E14001202,ref,11355,Howard Cox
E14001081,con,10944,Tom Pridham
W07000111,con,9888,Sarah Atherton
S14000103,con,14801,Luke Graham
E14001594,con,8860,Jane Stevenson
E14001209,con,7207,Georgie Callé
E14001570,lab,11780,Lenny Rolles
E14001120,other,11017,Muhammed Ali Islam
S14000108,snp,12273,David James Wilson
E14001435,green,5213,Vivien Lichtenstein
E14001065,con,16624,Oliver Carroll
E14001177,con,14007,Jason McCartney
E14001527,green,7629,Scott Ainslie
E14001462,con,11942,Holly Mumby-Croft
E14001198,con,7964,Nick Allen
E14001248,con,13041,Richard Graham
E14001531,ref,10779,Chris Eynon
E14001161,con,17866,Alex Chalk
E14001474,con,11564,Aisha Cuthbert
E14001136,lab,15603,Iain Simpson
E14001566,con,11563,James Uffindell
E14001073,ref,5173,Clive Peacock
E14001589,con,13158,Jenny Johnson
E14001423,con,10430,Miriam Cates
E14001264,con,8783,Andrew Dinsmore
E14001321,con,7177,Chris Whiteside
E14001458,lab,10854,Joe Wood
E14001233,lab,11482,Gemma Furnivall
E14001399,con,18499,Liam Fox
E14001376,con,17268,Laura Farris
N05000003,apni,8839,Kate Nicholl
S14000098,con,13960,Kathleen Robertson
S14000077,snp,13625,Grant Daniel Costello
E14001225,con,8632,Chris Dey
N05000015,sdlp,10418,Colin McGrath
E14001360,ld,14278,Anja Schaefer
E14001419,green,5076,Sushila Dhall
S14000061,lab,11455,M. Tauqeer Malik
E14001272,ref,8716,Amanda Napper
E14001337,ref,4406,Kiera Alice Hubbard
E14001086,other,14207,Ajmal Masroor
E14001069,con,13483,Damian Green
E14001593,con,17398,Lucy Demery
E14001439,con,14912,Ross Mackinnon
S14000104,snp,12693,Katy Loudon
E14001340,green,6773,Tom Crone
E14001205,green,8567,Pete Elliott
E14001481,con,15063,Chris Carter-Chapman
E14001194,ref,8501,Alan Graves
E14001317,ref,5924,Alexander Hitchmough
E14001252,lab,11776,Edward Batterbury
E14001602,ref,5986,Julie Fousert
E14001497,con,11217,Liz Truss
E14001478,ref,5670,Pete Durnell
E14001182,con,10160,Mattie Heaven
E14001301,other,9643,Noor Jahan Begum
E14001244,ref,8601,Damian Heslop
E14001090,con,14461,Rupert Harrison
W07000100,con,14627,Stephen Crabb
E14001585,ref,9852,Andy Dawber
E14001356,con,17630,Michelle Donelan
E14001213,other,6707,Tahir Mirza
E14001454,lab,13785,Tony Gill
E14001511,con,11247,Derek Thomas
E14001141,con,15181,Iain Stewart
E14001268,con,16574,Nigel Robert Gardner
E14001287,con,14625,Robert Largan
E14001403,lab,14482,Andy Fitchet
S14000094,snp,15999,Drew Hendry
W07000086,ref,7921,Caroline Jones
E14001116,con,11141,Conor Burns
E14001546,ref,9576,Sophie Preston-Hall
E14001395,con,15842,Bill Wiggin
S14000082,snp,10175,Euan Hyslop
E14001415,ref,7734,Jacob Barden
E14001550,con,9722,Ethan Kane Foster Brooks
E14001100,other,10582,Jody McIntyre
W07000090,con,9642,Joel Williams
E14001229,ref,5944,Michael Pastor
E14001383,ref,10613,Callum Daniel Bushrod
E14001442,lab,15635,Stuart Brady
E14001157,con,11691,Nathan Andrew Gamester
E14001507,con,9388,James Spencer
E14001291,con,16307,Simon Jupp
E14001290,other,7312,Andrew Feinstein
E14001443,con,17321,Nigel Evans
E14001156,lab,10854,Kevin Craig
E14001506,ref,9888,Sarah Wood
E14001228,con,11365,Maggie Throup
E14001382,ref,9555,John Grant
N05000018,dup,6794,Thomas Buchanan
S14000083,snp,13347,Toni Giugliano
E14001414,lab,14362,Edward Jones
E14001551,con,13588,Kevin Foster
E14001101,con,10364,Jane MacBean
W07000091,green,5661,Anthony Slaughter
E14001394,con,15420,Jacob Rees-Mogg
E14001402,lab,16750,Issy Waite
S14000095,snp,14796,Hannah Bardell
W07000087,lab,10985,Martha Angharad O'Neil
E14001117,con,13999,James Sunderland
E14001547,con,8370,Shaun Bailey
E14001269,con,15738,Andrew Jones
E14001286,ref,8987,Steve Potter
E14001455,ref,7662,Jason Moorcroft
E14001510,ref,6974,Raymond Peters
E14001140,con,11158,Darren Henry
E14001357,lab,12130,Zafran Khan
E14001212,ld,10839,Benedict Dempsey
E14001091,green,8670,Jo Bird
W07000101,con,17672,David Davies
E14001584,ref,7059,Jake Fraser
E14001300,other,15119,Leanne Mohamad
E14001245,con,11397,Tom Randall
E14001496,ld,12002,Sally Symington
E14001479,lab,11664,Deirdre Fox
E14001183,ref,9454,Gordon Fletcher
E14001316,lab,11896,Sally Benton
E14001253,lab,12274,Vipul Bechar
E14001603,con,11497,Marcus Fysh
E14001480,lab,12080,Jack Ferguson
E14001195,con,17409,Sarah Dines
E14001341,ref,4879,Jack Frederick Boyd
E14001204,con,10315,Marco Longhi
E14001087,lab,15377,Margaret Pinder
E14001068,lab,11553,Rhea Keehn
E14001592,con,12773,Jonathan Lord
E14001438,con,8961,Raj Singh
S14000105,snp,15462,Alyn Smith
E14001273,lab,15360,Alex Diner
E14001336,con,9677,Karl McCartney
E14001418,con,12690,Mark Eastwood
S14000060,lab,12773,Lynn Thomson
E14001224,con,16632,Lucy Frazer
N05000014,dup,8799,Paul Girvan
E14001361,con,9530,Charles Fifield
S14000099,snp,12083,Marion Fellows
S14000076,snp,12095,Naz Anis-Miah
E14001232,lab,14607,Helen Dallimore
E14001398,con,10903,Simon Baynes
E14001377,ref,7815,Ashton Hektor Muncaster
N05000002,dup,12062,Phillip Brett
E14001459,ref,6031,Keith Whalley
S14000021,snp,13514,Kirsten Frances Oswald
E14001265,con,8462,Don Williams
E14001320,ref,7345,David Dresser
E14001137,lab,15627,Oana Olaru-Holmes
E14001567,ref,10769,Paul Donaghy
E14001072,con,15212,Victoria Prentis
E14001588,lab,10026,Pavitar Kaur Mann
E14001422,con,15227,Andrew Stephenson
E14001530,con,14602,Thérèse Coffey
E14001160,con,18404,Greg Hands
E14001475,lab,17183,Malcolm Birks
E14001249,ld,22402,Paul Follows
E14001176,con,10554,James Cracknell
E14001526,con,16328,Chris Clarkson
E14001463,con,8490,Marcus Bleasdale
E14001199,con,12811,Nicholas Fletcher
E14001571,con,12248,David Goss
E14001121,lab,13744,Matthew Wright
S14000109,snp,11222,Annie McIndoe
E14001434,con,10011,Lee Jamie Roberts
E14001064,lab,11607,Luke John Davies
E14001208,con,8144,Maria Khan
